Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Transmembrane	Subcellular location [CC]
P62138	PP1A_RAT	reviewed	Serine/threonine-protein phosphatase PP1-alpha catalytic subunit (PP-1A) (EC 3.1.3.16)	Ppp1ca Ppp1a	Rattus norvegicus (Rat)	330		SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Nucleus {ECO:0000250}. Nucleus, nucleoplasm {ECO:0000250}. Nucleus, nucleolus {ECO:0000250}. Note=Primarily nuclear and largely excluded from the nucleolus. Highly mobile in cells and can be relocalized through interaction with targeting subunits. NOM1 plays a role in targeting it to the nucleolus. In the presence of PPP1R8 relocalizes from the nucleus to nuclear speckles (By similarity). {ECO:0000250}.
O35764	NPTXR_RAT	reviewed	Neuronal pentraxin receptor	Nptxr Npr	Rattus norvegicus (Rat)	494	TRANSMEM 3 23 Helical; Signal-anchor for type II membrane protein. {ECO:0000255}.	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass type II membrane protein {ECO:0000305}.
O89040	PLCB2_RAT	reviewed	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2 (EC 3.1.4.11) (Phosphoinositide phospholipase C-beta-2) (Phospholipase C-beta-2) (PLC-beta-2)	Plcb2	Rattus norvegicus (Rat)	1183		
Q5BJX0	NTM1A_RAT	reviewed	N-terminal Xaa-Pro-Lys N-methyltransferase 1 (EC 2.1.1.244) (Alpha N-terminal protein methyltransferase 1A) (Methyltransferase-like protein 11A) (X-Pro-Lys N-terminal protein methyltransferase 1A) (NTM1A) [Cleaved into: N-terminal Xaa-Pro-Lys N-methyltransferase 1, N-terminally processed]	Ntmt1 Mettl11a	Rattus norvegicus (Rat)	223		SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q9BV86}. Note=Predominantly nuclear. {ECO:0000250|UniProtKB:Q9BV86}.
F1M707	NCF1_RAT	reviewed	Neutrophil cytosolic factor 1 (NCF-1)	Ncf1	Rattus norvegicus (Rat)	389		SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000250|UniProtKB:P14598}. Membrane {ECO:0000250|UniProtKB:P14598}; Peripheral membrane protein {ECO:0000250|UniProtKB:P14598}; Cytoplasmic side {ECO:0000250|UniProtKB:P14598}.
Q6JE36	NDRG1_RAT	reviewed	Protein NDRG1 (N-myc downstream-regulated gene 1 protein) (Protein Ndr1)	Ndrg1 Ndr1	Rattus norvegicus (Rat)	394		SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000250}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000250}. Nucleus {ECO:0000250}. Cell membrane {ECO:0000250}. Note=Mainly cytoplasmic but differentially localized to other regions. Associates with the plasma membrane in intestinal epithelia and lactating mammary gland. Translocated to the nucleus in a p53/TP53-dependent manner. In prostate epithelium and placental chorion, located in both the cytoplasm and in the nucleus. No nuclear localization in colon epithelium cells. In intestinal mucosa, prostate and renal cortex, located predominantly adjacent to adherens junctions. Cytoplasmic with granular staining in proximal tubular cells of the kidney and salivary gland ducts. Recruits to the membrane of recycling/sorting and late endosomes via binding to phosphatidylinositol 4-phosphate. Associates with microtubules. Colocalizes with TUBG1 in the centrosome. Cytoplasmic location increased with hypoxia. Phosphorylated form found associated with centromeres during S-phase of mitosis and with the plasma membrane (By similarity). {ECO:0000250}.
O54698	S29A1_RAT	reviewed	Equilibrative nucleoside transporter 1 (Equilibrative nitrobenzylmercaptopurine riboside-sensitive nucleoside transporter) (Equilibrative NBMPR-sensitive nucleoside transporter) (Nucleoside transporter, es-type) (Solute carrier family 29 member 1)	Slc29a1 Ent1	Rattus norvegicus (Rat)	457	TRANSMEM 13 29 Helical. {ECO:0000255}.; TRANSMEM 83 107 Helical. {ECO:0000255}.; TRANSMEM 112 130 Helical. {ECO:0000255}.; TRANSMEM 139 157 Helical. {ECO:0000255}.; TRANSMEM 175 199 Helical. {ECO:0000255}.; TRANSMEM 207 227 Helical. {ECO:0000255}.; TRANSMEM 292 311 Helical. {ECO:0000255}.; TRANSMEM 324 343 Helical. {ECO:0000255}.; TRANSMEM 361 379 Helical. {ECO:0000255}.; TRANSMEM 395 414 Helical. {ECO:0000255}.; TRANSMEM 433 453 Helical. {ECO:0000255}.	SUBCELLULAR LOCATION: Basolateral cell membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}. Apical cell membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}. Cell membrane {ECO:0000269|PubMed:9353301}; Multi-pass membrane protein {ECO:0000269|PubMed:9353301}. Note=Predominantly localized in the basolateral membrane in polarized MDCK cells. {ECO:0000250}.
P30936	SSR3_RAT	reviewed	Somatostatin receptor type 3 (SS-3-R) (SS3-R) (SS3R) (SSR-28)	Sstr3	Rattus norvegicus (Rat)	428	TRANSMEM 46 71 Helical; Name=1. {ECO:0000255}.; TRANSMEM 82 103 Helical; Name=2. {ECO:0000255}.; TRANSMEM 119 140 Helical; Name=3. {ECO:0000255}.; TRANSMEM 163 182 Helical; Name=4. {ECO:0000255}.; TRANSMEM 207 232 Helical; Name=5. {ECO:0000255}.; TRANSMEM 267 288 Helical; Name=6. {ECO:0000255}.; TRANSMEM 303 325 Helical; Name=7. {ECO:0000255}.	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:11134004, ECO:0000269|PubMed:9295322}; Multi-pass membrane protein {ECO:0000269|PubMed:11134004, ECO:0000269|PubMed:9295322}. Note=Internalized into endoplasmic vesicles upon somatostatin-stimulation.
Q9QZR6	SEPT9_RAT	reviewed	Septin-9 (Eighth septin) (Eseptin) (Septin-like protein) (SLP)	Septin9 Sept9	Rattus norvegicus (Rat)	564		SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000269|PubMed:10944462, ECO:0000269|PubMed:15485874}. Note=In embryonic fibroblasts, associated with actin stress fibers. No apparent co-distribution with microtubules, but some colocalization with vimentin filaments in the perinuclear region.
B1WBT0	TM232_RAT	reviewed	Transmembrane protein 232	Tmem232	Rattus norvegicus (Rat)	617	TRANSMEM 129 149 Helical. {ECO:0000255}.	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}.
Q8R478	WBP2_RAT	reviewed	WW domain-binding protein 2 (WBP-2)	Wbp2	Rattus norvegicus (Rat)	262		SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:Q969T9}. Nucleus {ECO:0000250|UniProtKB:Q969T9}. Note=Translocates from cytoplasm to nucleus when phosphorylated. {ECO:0000250|UniProtKB:Q969T9}.
P49616	UPAR_RAT	reviewed	Urokinase plasminogen activator surface receptor (U-PAR) (uPAR) (CD antigen CD87)	Plaur	Rattus norvegicus (Rat)	328		SUBCELLULAR LOCATION: Isoform 1: Cell membrane {ECO:0000269|PubMed:1321734}; Lipid-anchor, GPI-anchor {ECO:0000269|PubMed:1321734}.; SUBCELLULAR LOCATION: Isoform 2: Secreted {ECO:0000305|PubMed:8307160}.
Q63666	VAMP1_RAT	reviewed	Vesicle-associated membrane protein 1 (VAMP-1) (Synaptobrevin-1)	Vamp1 Syb1	Rattus norvegicus (Rat)	118	TRANSMEM 97 116 Helical; Anchor for type IV membrane protein. {ECO:0000255}.	SUBCELLULAR LOCATION: Isoform 1: Cytoplasmic vesicle, secretory vesicle, synaptic vesicle membrane; Single-pass type IV membrane protein. Cell junction, synapse, synaptosome {ECO:0000250}.; SUBCELLULAR LOCATION: Isoform 2: Cytoplasmic vesicle membrane; Single-pass type IV membrane protein. Note=Isoforms 2 and 3 are found in perinuclear as well as peripheral punctate structures in osteoblasts.; SUBCELLULAR LOCATION: Isoform 3: Mitochondrion outer membrane; Single-pass type IV membrane protein. Note=Isoforms 2 and 3 are found in perinuclear as well as peripheral punctate structures in osteoblasts. {ECO:0000250|UniProtKB:P23763}.
P97603	NEO1_RAT	reviewed	Neogenin (Fragment)	Neo1 Ngn	Rattus norvegicus (Rat)	1377	TRANSMEM 1075 1095 Helical. {ECO:0000255}.	SUBCELLULAR LOCATION: Cell membrane; Single-pass type I membrane protein.
Q62667	MVP_RAT	reviewed	Major vault protein (MVP)	Mvp	Rattus norvegicus (Rat)	861		SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:Q14764}. Nucleus {ECO:0000250|UniProtKB:Q14764}.
P25094	PMP22_RAT	reviewed	Peripheral myelin protein 22 (PMP-22) (Protein CD25) (SR13 myelin protein) (Schwann cell membrane glycoprotein) (SAG)	Pmp22 Cd25 Pmp-22	Rattus norvegicus (Rat)	160	TRANSMEM 2 31 Helical. {ECO:0000250}.; TRANSMEM 65 91 Helical. {ECO:0000250}.; TRANSMEM 96 119 Helical. {ECO:0000250}.; TRANSMEM 134 156 Helical. {ECO:0000250}.	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}.
Q5XIA1	NCLN_RAT	reviewed	Nicalin (Nicastrin-like protein)	Ncln	Rattus norvegicus (Rat)	563	TRANSMEM 523 543 Helical. {ECO:0000255}.	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250}; Single-pass membrane protein {ECO:0000250}.
Q62795	NPT1_RAT	reviewed	Sodium-dependent phosphate transport protein 1 (Na(+)/PI cotransporter 1) (Renal Na(+)-dependent phosphate cotransporter 1) (Renal sodium-dependent phosphate transport protein 1) (Renal sodium-phosphate transport protein 1) (Sodium/phosphate cotransporter 1) (Solute carrier family 17 member 1)	Slc17a1 Npt1	Rattus norvegicus (Rat)	465	TRANSMEM 79 99 Helical. {ECO:0000255}.; TRANSMEM 117 137 Helical. {ECO:0000255}.; TRANSMEM 176 196 Helical. {ECO:0000255}.; TRANSMEM 199 219 Helical. {ECO:0000255}.; TRANSMEM 260 280 Helical. {ECO:0000255}.; TRANSMEM 299 319 Helical. {ECO:0000255}.; TRANSMEM 337 357 Helical. {ECO:0000255}.; TRANSMEM 363 383 Helical. {ECO:0000255}.; TRANSMEM 399 419 Helical. {ECO:0000255}.; TRANSMEM 431 451 Helical. {ECO:0000255}.	SUBCELLULAR LOCATION: Apical cell membrane {ECO:0000250|UniProtKB:Q14916}; Multi-pass membrane protein {ECO:0000255}.
P08523	OMP_RAT	reviewed	Olfactory marker protein (Olfactory neuronal-specific protein)	Omp	Rattus norvegicus (Rat)	163		SUBCELLULAR LOCATION: Cytoplasm.
Q6Q760	NALCN_RAT	reviewed	Sodium leak channel non-selective protein (Four domain-type voltage-gated ion channel alpha-1 subunit) (Rb21-channel) (Voltage gated channel-like protein 1)	Nalcn Nca Rb21 Vgcnl1	Rattus norvegicus (Rat)	1738	TRANSMEM 41 61 Helical; Name=S1 of repeat I. {ECO:0000255}.; TRANSMEM 67 87 Helical; Name=S2 of repeat I. {ECO:0000255}.; TRANSMEM 107 127 Helical; Name=S3 of repeat I. {ECO:0000255}.; TRANSMEM 139 158 Helical; Voltage-sensor; Name=S4 of repeat I. {ECO:0000255}.; TRANSMEM 183 203 Helical; Name=S5 of repeat I. {ECO:0000255}.; TRANSMEM 302 322 Helical; Name=S6 of repeat I. {ECO:0000255}.; TRANSMEM 383 403 Helical; Name=S1 of repeat II. {ECO:0000255}.; TRANSMEM 423 443 Helical; Name=S2 of repeat II. {ECO:0000255}.; TRANSMEM 449 468 Helical; Name=S3 of repeat II. {ECO:0000255}.; TRANSMEM 477 500 Helical; Voltage-sensor; Name=S4 of repeat II. {ECO:0000255}.; TRANSMEM 510 530 Helical; Name=S5 of repeat II. {ECO:0000255}.; TRANSMEM 579 599 Helical; Name=S6 of repeat II. {ECO:0000255}.; TRANSMEM 881 901 Helical; Name=S1 of repeat III. {ECO:0000255}.; TRANSMEM 924 944 Helical; Name=S2 of repeat III. {ECO:0000255}.; TRANSMEM 953 973 Helical; Name=S3 of repeat III. {ECO:0000255}.; TRANSMEM 980 997 Helical; Voltage-sensor; Name=S4 of repeat III. {ECO:0000255}.; TRANSMEM 1016 1036 Helical; Name=S5 of repeat III. {ECO:0000255}.; TRANSMEM 1136 1156 Helical; Name=S6 of repeat III. {ECO:0000255}.; TRANSMEM 1210 1227 Helical; Name=S1 of repeat IV. {ECO:0000255}.; TRANSMEM 1236 1256 Helical; Name=S2 of repeat IV. {ECO:0000255}.; TRANSMEM 1278 1298 Helical; Name=S3 of repeat IV. {ECO:0000255}.; TRANSMEM 1300 1316 Helical; Voltage-sensor; Name=S4 of repeat IV. {ECO:0000255}.; TRANSMEM 1336 1356 Helical; Name=S5 of repeat IV. {ECO:0000255}.; TRANSMEM 1427 1447 Helical; Name=S6 of repeat IV. {ECO:0000255}.	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.
P08289	PPBT_RAT	reviewed	Alkaline phosphatase, tissue-nonspecific isozyme (AP-TNAP) (TNSALP) (EC 3.1.3.1) (Alkaline phosphatase liver/bone/kidney isozyme)	Alpl	Rattus norvegicus (Rat)	524		SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:P05186}; Lipid-anchor, GPI-anchor {ECO:0000250|UniProtKB:P05186}.
P11248	PRM2_RAT	reviewed	Protamine-2 (Sperm histone P2) (Sperm protamine P2)	Prm2	Rattus norvegicus (Rat)	104		SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:P07978}. Chromosome {ECO:0000250|UniProtKB:P07978}.
P11662	NU2M_RAT	reviewed	NADH-ubiquinone oxidoreductase chain 2 (EC 7.1.1.2) (NADH dehydrogenase subunit 2)	Mtnd2 mt-Nd2 Nd2	Rattus norvegicus (Rat)	346	TRANSMEM 25 45 Helical. {ECO:0000255}.; TRANSMEM 56 76 Helical. {ECO:0000255}.; TRANSMEM 94 114 Helical. {ECO:0000255}.; TRANSMEM 122 142 Helical. {ECO:0000255}.; TRANSMEM 148 168 Helical. {ECO:0000255}.; TRANSMEM 178 198 Helical. {ECO:0000255}.; TRANSMEM 200 220 Helical. {ECO:0000255}.; TRANSMEM 240 260 Helical. {ECO:0000255}.; TRANSMEM 278 298 Helical. {ECO:0000255}.; TRANSMEM 325 345 Helical. {ECO:0000255}.	SUBCELLULAR LOCATION: Mitochondrion inner membrane; Multi-pass membrane protein.
P97680	RIN1_RAT	reviewed	Ras and Rab interactor 1 (Ras interaction/interference protein 1)	Rin1	Rattus norvegicus (Rat)	774		SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Membrane {ECO:0000250}. Cytoplasm, cytoskeleton {ECO:0000250}. Note=Some amount is membrane-associated. {ECO:0000250}.
Q4KLY4	RING2_RAT	reviewed	E3 ubiquitin-protein ligase RING2 (EC 2.3.2.27) (RING finger protein 1B) (RING1b) (RING finger protein 2) (RING-type E3 ubiquitin transferase RING2)	Rnf2 Ring1b	Rattus norvegicus (Rat)	308		SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q9CQJ4}. Chromosome {ECO:0000250|UniProtKB:Q9CQJ4}. Note=Enriched on inactive X chromosome (Xi) in female trophoblast stem (TS) cells as well as differentiating embryonic stem (ES) cells. The enrichment on Xi is transient during TS and ES cell differentiation. The association with Xi is mitotically stable in non-differentiated TS cells. {ECO:0000250|UniProtKB:Q9CQJ4}.
Q924U5	TESK2_RAT	reviewed	Dual specificity testis-specific protein kinase 2 (EC 2.7.12.1) (Testicular protein kinase 2)	Tesk2	Rattus norvegicus (Rat)	570		SUBCELLULAR LOCATION: Nucleus {ECO:0000250}.
P97615	THIOM_RAT	reviewed	Thioredoxin, mitochondrial (MTRX) (Mt-Trx) (Thioredoxin-2)	Txn2 Trx2	Rattus norvegicus (Rat)	166		SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:9006939}.
P59926	SYT15_RAT	reviewed	Synaptotagmin-15 (Synaptotagmin XV) (SytXV)	Syt15 Sytxv	Rattus norvegicus (Rat)	422	TRANSMEM 5 27 Helical; Signal-anchor for type III membrane protein. {ECO:0000255}.	SUBCELLULAR LOCATION: Membrane {ECO:0000250}; Single-pass type III membrane protein {ECO:0000250}.
Q67ES2	TR135_RAT	reviewed	Taste receptor type 2 member 135 (T2R135) (T2R35) (Taste receptor type 2 member 28) (T2R28)	Tas2r135 Tas2r28	Rattus norvegicus (Rat)	321	TRANSMEM 29 49 Helical; Name=1. {ECO:0000255}.; TRANSMEM 76 96 Helical; Name=2. {ECO:0000255}.; TRANSMEM 107 127 Helical; Name=3. {ECO:0000255}.; TRANSMEM 150 170 Helical; Name=4. {ECO:0000255}.; TRANSMEM 208 228 Helical; Name=5. {ECO:0000255}.; TRANSMEM 254 274 Helical; Name=6. {ECO:0000255}.; TRANSMEM 287 307 Helical; Name=7. {ECO:0000255}.	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.
P52632	STA5B_RAT	reviewed	Signal transducer and activator of transcription 5B	Stat5b	Rattus norvegicus (Rat)	786		SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:P42232}. Nucleus {ECO:0000250|UniProtKB:P42232}. Note=Translocated into the nucleus in response to phosphorylation. {ECO:0000250}.
P50753	TNNT2_RAT	reviewed	Troponin T, cardiac muscle (TnTc) (Cardiac muscle troponin T) (cTnT)	Tnnt2	Rattus norvegicus (Rat)	299		
Q5EB63	TM196_RAT	reviewed	Transmembrane protein 196	Tmem196	Rattus norvegicus (Rat)	176	TRANSMEM 11 31 Helical. {ECO:0000255}.; TRANSMEM 41 61 Helical. {ECO:0000255}.; TRANSMEM 67 87 Helical. {ECO:0000255}.; TRANSMEM 100 120 Helical. {ECO:0000255}.	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.
Q923U9	S40A1_RAT	reviewed	Solute carrier family 40 member 1 (CAR1) (Cell adhesion regulator) (Ferroportin-1)	Slc40a1 Fpn1 Fpt1	Rattus norvegicus (Rat)	570	TRANSMEM 12 34 Helical. {ECO:0000255}.; TRANSMEM 54 76 Helical. {ECO:0000255}.; TRANSMEM 96 115 Helical. {ECO:0000255}.; TRANSMEM 125 147 Helical. {ECO:0000255}.; TRANSMEM 302 324 Helical. {ECO:0000255}.; TRANSMEM 339 361 Helical. {ECO:0000255}.; TRANSMEM 373 395 Helical. {ECO:0000255}.; TRANSMEM 449 471 Helical. {ECO:0000255}.; TRANSMEM 491 513 Helical. {ECO:0000255}.; TRANSMEM 518 540 Helical. {ECO:0000255}.	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}. Note=Localized to the basolateral membrane of polarized epithelial cells. {ECO:0000250}.
D3ZSK5	SETD6_RAT	reviewed	N-lysine methyltransferase SETD6 (EC 2.1.1.-) (SET domain-containing protein 6)	Setd6	Rattus norvegicus (Rat)	474		SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q8TBK2}.
Q99N02	SO3A1_RAT	reviewed	Solute carrier organic anion transporter family member 3A1 (Organic anion-transporting polypeptide D) (OATP-D) (Prostaglandin transporter subtype 2) (Sodium-independent organic anion transporter D) (Solute carrier family 21 member 11)	Slco3a1 Oatp3a1 Oatpd Pgt2 Slc21a11	Rattus norvegicus (Rat)	710	TRANSMEM 41 60 Helical; Name=1. {ECO:0000255}.; TRANSMEM 80 100 Helical; Name=2. {ECO:0000255}.; TRANSMEM 107 131 Helical; Name=3. {ECO:0000255}.; TRANSMEM 175 203 Helical; Name=4. {ECO:0000255}.; TRANSMEM 223 243 Helical; Name=5. {ECO:0000255}.; TRANSMEM 262 286 Helical; Name=6. {ECO:0000255}.; TRANSMEM 345 366 Helical; Name=7. {ECO:0000255}.; TRANSMEM 387 410 Helical; Name=8. {ECO:0000255}.; TRANSMEM 415 438 Helical; Name=9. {ECO:0000255}.; TRANSMEM 540 562 Helical; Name=10. {ECO:0000255}.; TRANSMEM 572 597 Helical; Name=11. {ECO:0000255}.; TRANSMEM 631 648 Helical; Name=12. {ECO:0000255}.	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein.
P49743	RXRB_RAT	reviewed	Retinoic acid receptor RXR-beta (Nuclear receptor coregulator 1) (Nuclear receptor subfamily 2 group B member 2) (Retinoid X receptor beta) (Fragment)	Rxrb Nr2b2 Rcor-1	Rattus norvegicus (Rat)	458		SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:28267642}. Cytoplasm {ECO:0000269|PubMed:28267642}.
Q64548	RTN1_RAT	reviewed	Reticulon-1 (Neuroendocrine-specific protein) (S-rex)	Rtn1 Nsp	Rattus norvegicus (Rat)	777	TRANSMEM 604 624 Helical. {ECO:0000255}.; TRANSMEM 706 726 Helical. {ECO:0000255}.	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:Q16799}; Multi-pass membrane protein {ECO:0000255}. Golgi apparatus membrane {ECO:0000250|UniProtKB:Q16799}; Multi-pass membrane protein {ECO:0000255}.
Q5M856	SPC25_RAT	reviewed	Kinetochore protein Spc25	Spc25 Spbc25	Rattus norvegicus (Rat)	226		SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q9HBM1}. Chromosome, centromere, kinetochore {ECO:0000250|UniProtKB:Q9HBM1}. Note=Localizes to kinetochores from late prophase to anaphase. Localizes specifically to the outer plate of the kinetochore. {ECO:0000250|UniProtKB:Q9HBM1}.
Q810F5	T184C_RAT	reviewed	Transmembrane protein 184C (Transmembrane protein 34)	Tmem184c Tmem34	Rattus norvegicus (Rat)	503	TRANSMEM 17 37 Helical. {ECO:0000255}.; TRANSMEM 48 68 Helical. {ECO:0000255}.; TRANSMEM 83 103 Helical. {ECO:0000255}.; TRANSMEM 115 135 Helical. {ECO:0000255}.; TRANSMEM 212 232 Helical. {ECO:0000255}.; TRANSMEM 254 274 Helical. {ECO:0000255}.; TRANSMEM 287 307 Helical. {ECO:0000255}.	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.
Q701R3	SIAT2_RAT	reviewed	Beta-galactoside alpha-2,6-sialyltransferase 2 (Alpha 2,6-ST 2) (EC 2.4.99.1) (CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,6-sialyltransferase 2) (ST6Gal II) (ST6GalII) (Sialyltransferase 2)	St6gal2	Rattus norvegicus (Rat)	525	TRANSMEM 12 32 Helical; Signal-anchor for type II membrane protein. {ECO:0000255}.	SUBCELLULAR LOCATION: Golgi apparatus, Golgi stack membrane {ECO:0000250}; Single-pass type II membrane protein {ECO:0000250}.
Q91Y81	SEPT2_RAT	reviewed	Septin-2 (Vascular endothelial cell specific protein 11)	Septin2 Sept2 Vesp11	Rattus norvegicus (Rat)	361		SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Cytoplasm, cytoskeleton {ECO:0000250}. Cytoplasm, cytoskeleton, spindle {ECO:0000250}. Cleavage furrow {ECO:0000250}. Midbody {ECO:0000250}. Cytoplasm, cell cortex {ECO:0000250}. Cell projection, cilium membrane {ECO:0000250}. Cell projection, cilium, flagellum {ECO:0000250|UniProtKB:Q15019}. Note=In metaphase cells, localized within the microtubule spindle. At the metaphase plate, in close apposition to the kinetochores of the congressed chromosomes. In cells undergoing cytokinesis, localized to the midbody, the ingressing cleavage furrow, and the central spindle. Localizes at the base of the cilia near the morphological distinction between the cilia and plasma membranes. Found in the sperm annulus (By similarity). {ECO:0000250, ECO:0000250|UniProtKB:Q15019}.
Q642G2	SOSD1_RAT	reviewed	Sclerostin domain-containing protein 1 (Uterine sensitization-associated gene 1 protein) (USAG-1) (Wnt-signaling modulator)	Sostdc1 Usag1 Wise	Rattus norvegicus (Rat)	206		SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:15373764}.
P56603	SCAM1_RAT	reviewed	Secretory carrier-associated membrane protein 1 (Secretory carrier membrane protein 1) (SCAMP 37)	Scamp1 Scamp	Rattus norvegicus (Rat)	338	TRANSMEM 156 176 Helical. {ECO:0000255}.; TRANSMEM 182 202 Helical. {ECO:0000255}.; TRANSMEM 218 238 Helical. {ECO:0000255}.; TRANSMEM 262 282 Helical. {ECO:0000255}.	SUBCELLULAR LOCATION: Golgi apparatus, trans-Golgi network membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}. Recycling endosome membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}.
P56720	SRBP1_RAT	reviewed	Sterol regulatory element-binding protein 1 (SREBP-1) (Adipocyte determination- and differentiation-dependent factor 1) (ADD1) (Sterol regulatory element-binding transcription factor 1) [Cleaved into: Processed sterol regulatory element-binding protein 1]	Srebf1 Srebp1	Rattus norvegicus (Rat)	1134	TRANSMEM 482 502 Helical. {ECO:0000255}.; TRANSMEM 537 557 Helical. {ECO:0000255}.	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:Q9WTN3}; Multi-pass membrane protein {ECO:0000255}. Golgi apparatus membrane {ECO:0000250|UniProtKB:Q9WTN3}; Multi-pass membrane protein {ECO:0000255}. Cytoplasmic vesicle, COPII-coated vesicle membrane {ECO:0000250|UniProtKB:Q9WTN3}; Multi-pass membrane protein {ECO:0000255}. Note=Moves from the endoplasmic reticulum to the Golgi in the absence of sterols. {ECO:0000250|UniProtKB:Q9WTN3}.; SUBCELLULAR LOCATION: Processed sterol regulatory element-binding protein 1: Nucleus {ECO:0000250|UniProtKB:Q9WTN3}.
Q6TUD4	YIPF3_RAT	reviewed	Protein YIPF3 (Liver regeneration-related protein LRRGT00110) (YIP1 family member 3)	Yipf3	Rattus norvegicus (Rat)	347	TRANSMEM 146 166 Helical. {ECO:0000255}.; TRANSMEM 185 205 Helical. {ECO:0000255}.; TRANSMEM 212 234 Helical. {ECO:0000255}.; TRANSMEM 238 260 Helical. {ECO:0000255}.; TRANSMEM 272 292 Helical. {ECO:0000255}.	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Multi-pass membrane protein. Golgi apparatus, cis-Golgi network membrane {ECO:0000250}; Multi-pass membrane protein. Cytoplasm {ECO:0000250}.
Q9JI12	VGLU2_RAT	reviewed	Vesicular glutamate transporter 2 (VGluT2) (Differentiation-associated BNPI) (Differentiation-associated Na(+)-dependent inorganic phosphate cotransporter) (Solute carrier family 17 member 6)	Slc17a6 Dnpi Vglut2	Rattus norvegicus (Rat)	582	TRANSMEM 72 92 Helical. {ECO:0000255}.; TRANSMEM 126 146 Helical. {ECO:0000255}.; TRANSMEM 149 169 Helical. {ECO:0000255}.; TRANSMEM 178 198 Helical. {ECO:0000255}.; TRANSMEM 217 237 Helical. {ECO:0000255}.; TRANSMEM 245 265 Helical. {ECO:0000255}.; TRANSMEM 311 331 Helical. {ECO:0000255}.; TRANSMEM 350 370 Helical. {ECO:0000255}.; TRANSMEM 387 407 Helical. {ECO:0000255}.; TRANSMEM 410 430 Helical. {ECO:0000255}.; TRANSMEM 444 464 Helical. {ECO:0000255}.; TRANSMEM 478 498 Helical. {ECO:0000255}.	SUBCELLULAR LOCATION: Cytoplasmic vesicle, secretory vesicle, synaptic vesicle membrane {ECO:0000269|PubMed:11551935}. Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}. Cell junction, synapse, synaptosome {ECO:0000269|PubMed:11698619}.
