Accession,ProteinName,GeneName,,
P31044,Phosphatidylethanolamine-binding protein 1 (PEBP-1) (23 kDa morphine-binding protein) (HCNPpp) (P23K) [Cleaved into: Hippocampal cholinergic neurostimulating peptide (HCNP)],Pebp1,,
Q5KTC7,N-acylethanolamine-hydrolyzing acid amidase (EC 3.5.1.-) (N-acylsphingosine amidohydrolase-like) (ASAH-like protein) [Cleaved into: N-acylethanolamine-hydrolyzing acid amidase subunit alpha; N-acylethanolamine-hydrolyzing acid amidase subunit beta],Naaa,,
Q6Y1S1,Myeloid differentiation primary response protein MyD88,Myd88,,
Q29RW1,Myosin-4 (Myosin heavy chain 2b) (MyHC-2b) (Myosin heavy chain 4),Myh4,,
D3ZJP6,Unconventional myosin-X (Unconventional myosin-10),Myo10,,
Q561R0,Marginal zone B- and B1-cell-specific protein (Plasma cell-induced resident endoplasmic reticulum protein) (Plasma cell-induced resident ER protein) (pERp1) (Proapoptotic caspase adapter protein),Mzb1,,
P70475,Myelin transcription factor 1-like protein (MyT1-L) (MyT1L) (Neural zinc finger factor 1) (NZF-1),Myt1l,,
Q3SWT0,Platelet endothelial cell adhesion molecule (PECAM-1) (CD antigen CD31),Pecam1,,
Q62722,NGFI-A-binding protein 1 (EGR-1-binding protein 1),Nab1,,
P81799,N-acetyl-D-glucosamine kinase (N-acetylglucosamine kinase) (EC 2.7.1.59) (GlcNAc kinase),Nagk,,
Q5XHY4,Ecto-ADP-ribosyltransferase 5 (EC 2.4.2.31) (ADP-ribosyltransferase C2 and C3 toxin-like 5) (ARTC5) (Mono(ADP-ribosyl)transferase 5) (NAD(P)(+)--arginine ADP-ribosyltransferase 5),Art5,,
Q63689,Neurogenic differentiation factor 2 (NeuroD2) (Brain bHLH protein KW8),Neurod2,,
Q9ES39,Nuclear distribution protein nudE homolog 1 (NudE) (rNudE),Nde1,,
Q8VBU2,Protein NDRG2 (Antidepressant-related protein ADRG123) (N-myc downstream-regulated gene 2 protein) (NDRG1-related protein),Ndrg2,,
Q80W89,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 11 (Complex I-B14.7) (CI-B14.7) (NADH-ubiquinone oxidoreductase subunit B14.7),Ndufa11,,
O35274,Neurabin-2 (Neurabin-II) (Neural tissue-specific F-actin-binding protein II) (PP1bp134) (Protein phosphatase 1 regulatory subunit 9B) (Spinophilin) (p130),Ppp1r9b,,
F1LQY6,N-terminal EF-hand calcium-binding protein 2 (EF-hand calcium-binding protein 2) (Neuronal calcium-binding protein 2),Necab2,,
P19234,"NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial (EC 1.6.99.3) (EC 7.1.1.2) (NADH-ubiquinone oxidoreductase 24 kDa subunit)",Ndufv2,,
Q66HF1,"NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial (EC 1.6.99.3) (EC 7.1.1.2)",Ndufs1,,
Q62918,Protein kinase C-binding protein NELL2 (NEL-like protein 2),Nell2,,
A7E3N2,Neutrophil cytosol factor 2 (NCF-2) (Neutrophil NADPH oxidase factor 2),Ncf2,,
B1WC40,Nuclear cap-binding protein subunit 2 (20 kDa nuclear cap-binding protein) (NCBP 20 kDa subunit) (CBP20),Ncbp2,,
P55161,Nck-associated protein 1 (NAP 1) (Membrane-associated protein HEM-2) (p125Nap1),Nckap1,,
Q63625,PHD and RING finger domain-containing protein 1 (CTD-binding SR-like protein rA9),Phrf1,,
Q6AYR2,Protein NDRG3 (N-myc downstream-regulated gene 3 protein),Ndrg3,,
Q5BK63,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial (Complex I-39kD) (CI-39kD) (NADH-ubiquinone oxidoreductase 39 kDa subunit) (Sperm flagella protein 3)",Ndufa9,,
Q02353,Bifunctional heparan sulfate N-deacetylase/N-sulfotransferase 1 (EC 2.8.2.8) (Glucosaminyl N-deacetylase/N-sulfotransferase 1) (NDST-1) (N-heparan sulfate sulfotransferase 1) (N-HSST 1) ([Heparan sulfate]-glucosamine N-sulfotransferase 1) (HSNST 1) [Includes: Heparan sulfate N-deacetylase 1 (EC 3.-.-.-); Heparan sulfate N-sulfotransferase 1 (EC 2.8.2.-)],Ndst1,,
Q9ESB5,N-terminal EF-hand calcium-binding protein 1 (EF-hand calcium-binding protein 1) (Neuronal calcium-binding protein 1) (Synaptotagmin-interacting protein 1) (Stip-1),Necab1,,
Q9Z0J8,Neuronal growth regulator 1 (Kindred of IgLON) (Kilon),Negr1,,
P97603,Neogenin (Fragment),Neo1,,
P16446,Phosphatidylinositol transfer protein alpha isoform (PI-TP-alpha) (PtdIns transfer protein alpha) (PtdInsTP alpha),Pitpna,,
Q6TMG5,NF-kappa-B essential modulator (NEMO) (IkB kinase-associated protein 1) (IKKAP1) (Inhibitor of nuclear factor kappa-B kinase subunit gamma) (I-kappa-B kinase subunit gamma) (IKK-gamma) (IKKG) (IkB kinase subunit gamma) (NF-kappa-B essential modifier),Ikbkg,,
Q5U2N3,"Membrane-associated phosphatidylinositol transfer protein 1 (Phosphatidylinositol transfer protein, membrane-associated 1) (PITPnm 1) (Pyk2 N-terminal domain-interacting receptor 2) (NIR-2)",Pitpnm1,,
P63140,Nuclear transcription factor Y subunit beta (CAAT box DNA-binding protein subunit B) (CCAAT-binding transcription factor subunit B) (CBF-B) (Nuclear transcription factor Y subunit B) (NF-YB),Nfyb,,
P55770,"NHP2-like protein 1 (High mobility group-like nuclear protein 2 homolog 1) (OTK27) (U4/U6.U5 small nuclear ribonucleoprotein SNU13) (U4/U6.U5 tri-snRNP 15.5 kDa protein) [Cleaved into: NHP2-like protein 1, N-terminally processed]",Snu13,,
P20974,T-cell ecto-ADP-ribosyltransferase 2 (EC 2.4.2.31) (ADP-ribosyltransferase C2 and C3 toxin-like 2) (ARTC2) (Alloantigen Rt6.2) (Mono(ADP-ribosyl)transferase 2B) (NAD(+) glycohydrolase) (EC 3.2.2.5) (T-cell NAD(P)(+)--arginine ADP-ribosyltransferase 2) (T-cell mono(ADP-ribosyl)transferase 2) (T-cell surface protein Rt6.2),Art2b,,
Q2YDU6,Nuclear prelamin A recognition factor (Iron-only hydrogenase-like protein 2) (IOP2),Narf,,
Q9Z0H5,Natural cytotoxicity triggering receptor 1 (Activating receptor 1) (rAR-1) (Lymphocyte antigen 94 homolog) (NK receptor KILR-1) (NKACTR) (Natural killer cell p46-related protein) (NK-p46) (NKp46) (CD antigen CD335),Ncr1,,
B2GV54,Neutral cholesterol ester hydrolase 1 (NCEH) (EC 3.1.1.-) (Arylacetamide deacetylase-like 1),Nceh1,,
P62168,Neuronal calcium sensor 1 (NCS-1) (Frequenin homolog) (Frequenin-like protein) (Frequenin-like ubiquitous protein),Ncs1,,
P17982,T-cell ecto-ADP-ribosyltransferase 1 (EC 2.4.2.31) (Alloantigen Rt6.1) (Mono(ADP-ribosyl)transferase 2A) (NAD(+) glycohydrolase) (EC 3.2.2.5) (T-cell NAD(P)(+)--arginine ADP-ribosyltransferase 1) (T-cell mono(ADP-ribosyl)transferase 1) (T-cell surface protein Rt6.1),Art2a,,
Q769K2,N-acyl-phosphatidylethanolamine-hydrolyzing phospholipase D (N-acyl phosphatidylethanolamine phospholipase D) (NAPE-PLD) (NAPE-hydrolyzing phospholipase D) (EC 3.1.4.54),Napepld,,
P20070,NADH-cytochrome b5 reductase 3 (B5R) (Cytochrome b5 reductase) (EC 1.6.2.2) (Diaphorase-1) [Cleaved into: NADH-cytochrome b5 reductase 3 membrane-bound form; NADH-cytochrome b5 reductase 3 soluble form],Cyb5r3,,
Q68EJ0,Cytochrome b5 reductase 4 (EC 1.6.2.2) (Flavohemoprotein b5/b5R) (b5+b5R) (N-terminal cytochrome b5 and cytochrome b5 oxidoreductase domain-containing protein) (cb5/cb5R),Cyb5r4,,
Q06880,Neuroblastoma suppressor of tumorigenicity 1 (N03) (Zinc finger protein DAN),Nbl1,,
F1M707,Neutrophil cytosolic factor 1 (NCF-1),Ncf1,,
P20942,Phosducin (PHD) (33 kDa phototransducing protein) (Protein MEKA) (Rod photoreceptor 1) (RPR-1),Pdc,,
Q60GF7,Phosphatidylinositol-glycan biosynthesis class X protein (PIG-X),Pigx,,
Q6P756,Adaptin ear-binding coat-associated protein 2 (NECAP-2),Necap2,,
P22062,Protein-L-isoaspartate(D-aspartate) O-methyltransferase (PIMT) (EC 2.1.1.77) (L-isoaspartyl protein carboxyl methyltransferase) (Protein L-isoaspartyl/D-aspartyl methyltransferase) (Protein-beta-aspartate methyltransferase),Pcmt1,,
P0C8N6,Nuclear envelope integral membrane protein 2,Nemp2,,
P07936,Neuromodulin (Axonal membrane protein GAP-43) (Growth-associated protein 43) (Protein F1),Gap43,,
Q5M870,E3 ubiquitin-protein ligase NEURL3 (EC 2.3.2.27) (Lung-inducible neuralized-related C3CH4 RING domain protein) (Neuralized-like protein 3) (RING-type E3 ubiquitin transferase NEURL3),Neurl3,,
Q52KK4,H/ACA ribonucleoprotein complex non-core subunit NAF1,Naf1,,
F1M2Z5,Noncompact myelin-associated protein (Myelin protein of 11 kDa) (MP11),Ncmap,,
Q9JIL9,Nibrin (Nijmegen breakage syndrome protein 1 homolog),Nbn,,
Q8CFD9,Natural cytotoxicity triggering receptor 3 (Natural killer cell p30-related protein) (NK-p30) (NKp30) (CD antigen CD337),Ncr3,,
Q64289,Neurogenic differentiation factor 1 (NeuroD1) (Basic helix-loop-helix factor 1) (BHF-1),Neurod1,,
Q9EPQ0,Sodium/potassium/calcium exchanger 3 (Na(+)/K(+)/Ca(2+)-exchange protein 3) (Solute carrier family 24 member 3) (Fragment),Slc24a3,,
Q5XIA1,Nicalin (Nicastrin-like protein),Ncln,,
Q6AXS0,"Mitochondrial sodium/calcium exchanger protein (Na(+)/K(+)/Ca(2+)-exchange protein 6) (Sodium/calcium exchanger protein, mitochondrial) (Sodium/potassium/calcium exchanger 6) (Solute carrier family 24 member 6) (Solute carrier family 8 member B1)",Slc8b1,,
Q9Z2L9,Protein NDRG4 (Brain development-related molecule 1),Ndrg4,,
Q63362,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5 (Complex I subunit B13) (Complex I-13kD-B) (CI-13kD-B) (NADH-ubiquinone oxidoreductase 13 kDa-B subunit),Ndufa5,,
Q62940,E3 ubiquitin-protein ligase NEDD4 (EC 2.3.2.26) (HECT-type E3 ubiquitin transferase NEDD4),Nedd4,,
Q6IUR5,Neudesin (Neuron-derived neurotrophic factor) (SCIRP10-related protein) (Spinal cord injury-related protein 10),Nenf,,
P20068,Neurotensin/neuromedin N [Cleaved into: Large neuromedin N (NmN-125); Neuromedin N (NN) (NmN); Neurotensin (NT); Tail peptide],Nts,,
Q5U2S1,NEDD4 family-interacting protein 1,Ndfip1,,
Q62812,"Myosin-9 (Cellular myosin heavy chain, type A) (Myosin heavy chain 9) (Myosin heavy chain, non-muscle IIa) (Non-muscle myosin heavy chain A) (NMMHC-A) (Non-muscle myosin heavy chain IIa) (NMMHC II-a) (NMMHC-IIA)",Myh9,,
P16409,"Myosin light chain 3 (Myosin alkali light chain 1, ventricular) (MLClV) (Myosin light chain 1, slow-twitch muscle B/ventricular isoform) (MLC1SB) (Ventricular myosin light chain 1) (rVMLC1)",Myl3,,
Q62774,Unconventional myosin-Ia (Brush border myosin I) (BBM-I) (BBMI) (Myosin I heavy chain) (MIHC) (Fragment),Myo1a,,
Q05096,Unconventional myosin-Ib (Myosin I alpha) (MMI-alpha) (MMIa) (Myosin heavy chain myr 1),Myo1b,,
Q64122,"Myosin regulatory light polypeptide 9 (Myosin regulatory light chain 2, smooth muscle isoform) (Myosin regulatory light chain 9)",Myl9,,
Q8R5I7,Myocardin,Myocd,,
Q63356,Unconventional myosin-Ie (Myosin heavy chain myr 3) (Unconventional myosin 1E),Myo1e,,
O35260,Nucleus accumbens-associated protein 1 (NAC-1) (BTB/POZ domain-containing protein 14B),Nacc1,,
Q562B4,Nucleus accumbens-associated protein 2 (NAC-2) (BTB/POZ domain-containing protein 14A),Nacc2,,
Q812E8,Glutamine-dependent NAD(+) synthetase (EC 6.3.5.1) (NAD(+) synthase [glutamine-hydrolyzing]) (NAD(+) synthetase),Nadsyn1,,
Q642G4,Peroxisomal membrane protein PEX14 (PTS1 receptor-docking protein) (Peroxin-14) (Peroxisomal membrane anchor protein PEX14),Pex14,,
Q9QYU1,Peroxisomal biogenesis factor 19 (Peroxin-19) (Peroxisomal farnesylated protein),Pex19,,
Q1HCL7,"NAD kinase 2, mitochondrial (EC 2.7.1.23) (Mitochondrial NAD kinase) (NAD kinase domain-containing protein 1, mitochondrial)",Nadk2,,
Q9JLI4,"Nuclear receptor coactivator 6 (Activating signal cointegrator 2) (ASC-2) (Amplified in breast cancer protein 3) (Cancer-amplified transcriptional coactivator ASC-2) (Nuclear receptor coactivator RAP250) (NRC) (Nuclear receptor-activating protein, 250 kDa) (Peroxisome proliferator-activated receptor-interacting protein) (PPAR-interacting protein) (PRIP) (Thyroid hormone receptor-binding protein) (Fragment)",Ncoa6,,
O70444,Serine/threonine-protein kinase pim-3 (EC 2.7.11.1) (Kinase induced by depolarization) (Protein kinase Kid-1),Pim3,,
O09015,Max-interacting protein 1 (Max interactor 1),Mxi1,,
Q01728,Sodium/calcium exchanger 1 (Na(+)/Ca(2+)-exchange protein 1) (Solute carrier family 8 member 1),Slc8a1,,
P48768,Sodium/calcium exchanger 2 (Na(+)/Ca(2+)-exchange protein 2) (Solute carrier family 8 member 2),Slc8a2,,
Q8R5G2,Adenine DNA glycosylase (EC 3.2.2.31) (MutY homolog) (rMYH),Mutyh,,
P15063,Protein B-Myc,Mycb,,
P12847,"Myosin-3 (Myosin heavy chain 3) (Myosin heavy chain, fast skeletal muscle, embryonic)",Myh3,,
P02563,"Myosin-6 (Myosin heavy chain 6) (Myosin heavy chain, cardiac muscle alpha isoform) (MyHC-alpha)",Myh6,,
Q02346,Myoblast determination protein 1,Myod1,,
P06907,Myelin protein P0 (Myelin peripheral protein) (MPP) (Myelin protein zero),Mpz,,
P70549,Sodium/calcium exchanger 3 (Na(+)/Ca(2+)-exchange protein 3) (Solute carrier family 8 member 3),Slc8a3,,
Q6Q760,Sodium leak channel non-selective protein (Four domain-type voltage-gated ion channel alpha-1 subunit) (Rb21-channel) (Voltage gated channel-like protein 1),Nalcn,,
Q9EPU2,Nuclear receptor coactivator 3 (NCoA-3) (EC 2.3.1.48) (Amplified in breast cancer-1 protein homolog) (AIB-1) (Fragment),Ncoa3,,
P02600,"Myosin light chain 1/3, skeletal muscle isoform (MLC1/MLC3) (MLC1F/MLC3F) (Myosin light chain alkali 1/2) (Myosin light chain A1/A2)",Myl1,,
Q63862,"Myosin-11 (Myosin heavy chain 11) (Myosin heavy chain, smooth muscle isoform) (SMMHC) (Fragments)",Myh11,,
D3ZDI6,E3 ubiquitin-protein ligase MYLIP (EC 2.3.2.27) (Inducible degrader of the LDL-receptor) (Idol) (Myosin regulatory light chain interacting protein) (MIR) (RING-type E3 ubiquitin transferase MYLIP),Mylip,,
P70569,Unconventional myosin-Vb (Myosin heavy chain myr 6),Myo5b,,
P60203,Myelin proteolipid protein (PLP) (Lipophilin),Plp1,,
O54697,Aminopeptidase NAALADL1 (EC 3.4.11.-) (100 kDa ileum brush border membrane protein) (I100) (Ileal dipeptidylpeptidase) (N-acetylated-alpha-linked acidic dipeptidase-like protein) (NAALADase L),Naaladl1,,
Q5BJY6,N-acetylglucosamine-6-phosphate deacetylase (GlcNAc 6-P deacetylase) (EC 3.5.1.25) (Amidohydrolase domain-containing protein 2),Amdhd2,,
Q792I0,Protein lin-7 homolog C (Lin-7C) (Mammalian lin-seven protein 3) (MALS-3) (Vertebrate lin-7 homolog 3) (Veli-3),Lin7c,,
Q32PY2,Lipase member H (EC 3.1.1.-),Liph,,
Q8K5E0,Lysophosphatidic acid receptor 3 (LPA receptor 3) (LPA-3) (Lysophosphatidic acid receptor Edg-7) (snGPCR32),Lpar3,,
Q4V8K3,N-alpha-acetyltransferase 11 (EC 2.3.1.255) (N-terminal acetyltransferase complex ARD1 subunit homolog B) (NatA catalytic subunit Naa11),Naa11,,
Q5PQQ7,LIX1-like protein,Lix1l,,
P34058,Heat shock protein HSP 90-beta (Heat shock 84 kDa) (HSP 84) (HSP84),Hsp90ab1,,
O35162,Heat shock 70 kDa protein 13 (Microsomal stress-70 protein ATPase core) (Stress-70 protein chaperone microsome-associated 60 kDa protein),Hspa13,,
P63018,Heat shock cognate 71 kDa protein (Heat shock 70 kDa protein 8),Hspa8,,
Q9EPX0,Heat shock protein beta-8 (HspB8) (Alpha-crystallin C chain) (Small stress protein-like protein HSP22),Hspb8,,
Q63746,NF-kappa-B inhibitor alpha (I-kappa-B-alpha) (IkB-alpha) (IkappaBalpha) (RL/IF-1),Nfkbia,,
Q99MF5,Interleukin-11 (IL-11),Il11,,
Q9JIL3,Interleukin enhancer-binding factor 3,Ilf3,,
P20607,Interleukin-6 (IL-6),Il6,,
P25086,Interleukin-1 receptor antagonist protein (IL-1RN) (IL-1ra) (IRAP) (IL1 inhibitor),Il1rn,,
Q9Z1Z6,Integrin-linked kinase-associated serine/threonine phosphatase 2C (ILKAP) (EC 3.1.3.16) (PP2Cdelta),Ilkap,,
P56478,Interleukin-7 (IL-7),Il7,,
Q66H70,Interleukin-33 (IL-33),Il33,,
Q07014,Tyrosine-protein kinase Lyn (EC 2.7.10.2) (V-yes-1 Yamaguchi sarcoma viral related oncogene homolog) (p53Lyn) (p56Lyn),Lyn,,
P16636,Protein-lysine 6-oxidase (EC 1.4.3.13) (Lysyl oxidase),Lox,,
P70470,Acyl-protein thioesterase 1 (APT-1) (EC 3.1.2.-) (Lysophospholipase 1) (Lysophospholipase I) (LPL-I) (LysoPLA I),Lypla1,,
Q9QYL8,Acyl-protein thioesterase 2 (APT-2) (EC 3.1.2.-) (Lysophospholipase 2) (Lysophospholipase II) (LPL-II) (LysoPLA II),Lypla2,,
Q66H42,Ly6/PLAUR domain-containing protein 1,Lypd1,,
O55162,Ly6/PLAUR domain-containing protein 3 (GPI-anchored metastasis-associated protein C4.4A),Lypd3,,
D3ZTT2,Ly6/PLAUR domain-containing protein 6,Lypd6,,
Q9Z1W6,Protein LYRIC (Lysine-rich CEACAM1 co-isolated protein) (Metadherin) (Metastasis adhesion protein),Mtdh,,
B2RYU8,LYR motif-containing protein 1,Lyrm1,,
B2GV91,LYR motif-containing protein 2,Lyrm2,,
B4F7A1,Complex III assembly factor LYRM7 (LYR motif-containing protein 7),Lyrm7,,
B2RZD7,LYR motif-containing protein 9,Lyrm9,,
P00697,"Lysozyme C-1 (EC 3.2.1.17) (1,4-beta-N-acetylmuramidase C)",Lyz1,,
Q05820,"Putative lysozyme C-2 (EC 3.2.1.17) (1,4-beta-N-acetylmuramidase C)",Lyz2,,
Q5HZA4,LysM and putative peptidoglycan-binding domain-containing protein 1,Lysmd1,,
D4ABW7,Lysozyme-like protein 4 (Lysozyme-4),Lyzl4,,
Q5PQN7,Protein LZIC (Leucine zipper and CTNNBIP1 domain-containing protein) (Leucine zipper and ICAT homologous domain-containing protein),Lzic,,
Q562C6,Leucine zipper transcription factor-like protein 1,Lztfl1,,
Q3LUD4,Leucine zipper putative tumor suppressor 2 (Protein LAPSER1),Lzts2,,
Q8K1Q4,Leucine zipper putative tumor suppressor 3 (ProSAP-interacting protein 1) (ProSAPiP1),Lzts3,,
P16598,Interleukin-1 alpha (IL-1 alpha),Il1a,,
Q5BJ95,Interleukin-17F (IL-17F),Il17f,,
Q08125,Interleukin-5 (IL-5) (B-cell growth factor II) (BCGF-II) (Cytotoxic T-lymphocyte inducer) (Eosinophil differentiation factor) (T-cell replacing factor) (TRF),Il5,,
P42203,Interleukin-13 (IL-13) (T-cell activation protein P600),Il13,,
Q63621,Interleukin-1 receptor accessory protein (IL-1 receptor accessory protein) (IL-1RAcP),Il1rap,,
P26897,Interleukin-2 receptor subunit alpha (IL-2 receptor subunit alpha) (IL-2-RA) (IL-2R subunit alpha) (IL2-RA) (CD antigen CD25),Il2ra,,
Q62912,Max dimerization protein 3 (Max dimerizer 3) (Max-associated protein 3) (Max-interacting transcriptional repressor MAD3) (Myx),Mxd3,,
O88801,Homer protein homolog 2 (Homer-2) (Cupidin) (VASP/Ena-related gene up-regulated during seizure and LTP 2) (Vesl-2),Homer2,,
P25102,Histamine H2 receptor (H2R) (HH2R) (Gastric receptor I),Hrh2,,
P51593,"E3 ubiquitin-protein ligase HUWE1 (EC 2.3.2.26) (HECT, UBA and WWE domain-containing protein 1) (HECT-type E3 ubiquitin transferase HUWE1) (Upstream regulatory element-binding protein 1) (URE-B1) (URE-binding protein 1) (Fragment)",Huwe1,,
P40190,Interleukin-6 receptor subunit beta (IL-6 receptor subunit beta) (IL-6R subunit beta) (IL-6R-beta) (IL-6RB) (Interleukin-6 signal transducer) (Membrane glycoprotein 130) (gp130) (Oncostatin-M receptor subunit alpha) (CD antigen CD130),Il6st,,
B0BNL4,Heme transporter HRG1 (Heme-responsive gene 1 protein homolog) (HRG-1) (Solute carrier family 48 member 1),Slc48a1,,
Q99PS8,Histidine-rich glycoprotein (Histidine-proline-rich glycoprotein) (HPRG) (Histidine-rich glycoprotein 1) (HRG1),Hrg,,
P01805,Ig heavy chain V region IR2,,,
P04823,Interleukin-3 (IL-3) (Hematopoietic growth factor) (Mast cell growth factor) (MCGF) (Multipotential colony-stimulating factor) (P-cell-stimulating factor),Il3,,
Q9JI24,Interleukin-24 (IL-24) (Cytokine-like protein Mob-5),Il24,,
P20096,Interleukin-4 (IL-4) (B-cell IGG differentiation factor) (B-cell growth factor 1) (B-cell stimulatory factor 1) (BSF-1) (Lymphocyte stimulatory factor 1),Il4,,
Q7TP98,Interleukin enhancer-binding factor 2 (Liver regeneration-related protein LRRG031),Ilf2,,
Q8K4G6,ADP-ribose glycohydrolase MACROD1 (MACRO domain-containing protein 1) (O-acetyl-ADP-ribose deacetylase MACROD1) (EC 3.5.1.-) (Protein LRP16) ([Protein ADP-ribosylaspartate] hydrolase MACROD1) (EC 3.2.2.-) ([Protein ADP-ribosylglutamate] hydrolase MACROD1) (EC 3.2.2.-) (Fragment),Macrod1,,
Q5XI14,Minichromosome maintenance domain-containing protein 2 (MCM domain-containing protein 2),Mcmdc2,,
B0BN72,Mapk-regulated corepressor-interacting protein 1 (Protein FAM195B),Mcrip1,,
Q7TSY2,LHFPL tetraspan subfamily member 4 protein (Lipoma HMGIC fusion partner-like 4 protein),Lhfpl4,,
Q5I0D5,Phospholysine phosphohistidine inorganic pyrophosphate phosphatase (EC 3.1.3.-) (EC 3.6.1.1),Lhpp,,
Q5XIJ1,Abasic site processing protein HMCES (Embryonic stem cell-specific 5-hydroxymethylcytosine-binding protein) (ES cell-specific 5hmC-binding protein) (Peptidase HMCES) (EC 3.4.-.-) (Putative endonuclease HMCES) (EC 3.1.25.-) (SRAP domain-containing protein 1),Hmces,,
P35332,Hippocalcin-like protein 4 (Neural visinin-like protein 2) (NVL-2) (NVP-2) (Visinin-like protein 2) (VILIP-2),Hpcal4,,
P84076,Neuron-specific calcium-binding protein hippocalcin (P23K),Hpca,,
P32755,4-hydroxyphenylpyruvate dioxygenase (EC 1.13.11.27) (4-hydroxyphenylpyruvic acid oxidase) (4HPPD) (HPD) (HPPDase) (F Alloantigen) (F protein),Hpd,,
A0JPN1,H2.0-like homeobox protein (Homeobox protein HLX1),Hlx,,
P23711,Heme oxygenase 2 (HO-2) (EC 1.14.14.18),Hmox2,,
Q01984,Histamine N-methyltransferase (HMT) (EC 2.1.1.8),Hnmt,,
O70453,Putative heme oxygenase 3 (HO-3) (EC 1.14.14.18),Hmox3,,
Q3SWU3,Heterogeneous nuclear ribonucleoprotein D-like (hnRNP D-like) (hnRNP DL),Hnrnpdl,,
Q6IMY8,Heterogeneous nuclear ribonucleoprotein U (hnRNP U) (SP120) (Scaffold-attachment factor A) (SAF-A),Hnrnpu,,
P97519,"Hydroxymethylglutaryl-CoA lyase, mitochondrial (HL) (HMG-CoA lyase) (EC 4.1.3.4) (3-hydroxy-3-methylglutarate-CoA lyase)",Hmgcl,,
Q9JJ54,Heterogeneous nuclear ribonucleoprotein D0 (hnRNP D0) (AU-rich element RNA-binding protein 1),Hnrnpd,,
Q9Z214,Homer protein homolog 1 (PSD-Zip45) (VASP/Ena-related gene up-regulated during seizure and LTP 1) (Vesl-1),Homer1,,
Q9Z2X5,Homer protein homolog 3 (Homer-3) (VASP/Ena-related gene up-regulated during seizure and LTP 3) (Vesl-3),Homer3,,
Q80V38,Host cell factor C1 regulator 1 (HCF-1 beta-propeller-interacting protein) (Inhibitor of four 2),Hcfc1r1,,
P62817,Activator of apoptosis harakiri (BH3-interacting domain-containing protein 3) (Neuronal death protein DP5),Hrk,,
Q80W66,Heparan sulfate glucosamine 3-O-sulfotransferase 2 (EC 2.8.2.29) (Heparan sulfate D-glucosaminyl 3-O-sulfotransferase 2) (Heparan sulfate 3-O-sulfotransferase 2),Hs3st2,,
Q91ZY1,Histamine H4 receptor (H4R) (HH4R),Hrh4,,
P55063,Heat shock 70 kDa protein 1-like (Heat shock 70 kDa protein 1L) (Heat shock 70 kDa protein 3) (HSP70.3),Hspa1l,,
P0DMW0,Heat shock 70 kDa protein 1A (Heat shock 70 kDa protein 2) (HSP70-2) (HSP70.2),Hspa1a,,
Q8K3X8,Heat shock factor-binding protein 1,Hsbp1,,
P10118,Sperm protamine P1 (Cysteine-rich protamine),Prm1,,
P84588,Heat shock cognate 71 kDa protein 2 (Fragment),,,
Q9QZK5,Serine protease HTRA1 (EC 3.4.21.-) (High-temperature requirement A serine peptidase 1) (Serine protease 11),Htra1,,
D3ZA76,Serine protease HTRA3 (EC 3.4.21.-) (High-temperature requirement factor A3) (Pregnancy-related serine protease),Htra3,,
D3ZKF5,Serine protease HTR4 (EC 3.4.21.-) (High-temperature requirement factor A4),Htra4,,
P52949,Homeobox protein Hox-A5 (Homeobox protein Hox-1.3) (Fragment),Hoxa5,,
P09634,Homeobox protein Hox-A7 (Homeobox protein Hox-1.1) (Homeobox protein R5) (Fragment),Hoxa7,,
Q63257,Interleukin-4 receptor subunit alpha (IL-4 receptor subunit alpha) (IL-4R subunit alpha) (IL-4R-alpha) (IL-4RA) (CD antigen CD124),Il4r,,
Q91Z84,Interleukin-23 subunit alpha (IL-23 subunit alpha) (IL-23-A) (Interleukin-23 subunit p19) (IL-23p19),Il23a,,
P17108,Interleukin-2 (IL-2) (T-cell growth factor) (TCGF),Il2,,
P06762,Heme oxygenase 1 (HO-1) (EC 1.14.14.18) (HSP32),Hmox1,,
P23899,Hepatocyte nuclear factor 1-beta (HNF-1-beta) (HNF-1B) (Transcription factor 2) (TCF-2) (Variant hepatic nuclear factor 1) (vHNF1),Hnf1b,,
P22449,Hepatocyte nuclear factor 4-alpha (HNF-4-alpha) (Nuclear receptor subfamily 2 group A member 1) (Transcription factor 14) (TCF-14) (Transcription factor HNF-4),Hnf4a,,
G3V9R8,Heterogeneous nuclear ribonucleoprotein C (hnRNP C) (hnRNP core protein C),Hnrnpc,,
D3ZWE7,HORMA domain-containing protein 1,Hormad1,,
Q9ESM2,Hyaluronan and proteoglycan link protein 2 (Brain link protein 1),Hapln2,,
P62749,Hippocalcin-like protein 1 (Neural visinin-like protein 3) (NVL-3) (NVP-3) (Visinin-like protein 3) (VILIP-3),Hpcal1,,
Q6IMX7,Hsp70-binding protein 1 (HspBP1) (Heat shock protein-binding protein 1) (Hsp70-interacting protein 1),Hspbp1,,
