"noiso"	"SPC"	"geneName"	"Transmembrane"	"CC"	"CD"	"CSPA..e"	"HLA"
"Q63085"	1	"Pde3b"	"TRANSMEM 73 93 Helical. {ECO:0000255}.; TRANSMEM 114 134 Helical. {ECO:0000255}.; TRANSMEM 144 164 Helical. {ECO:0000255}.; TRANSMEM 175 195 Helical. {ECO:0000255}.; TRANSMEM 204 224 Helical. {ECO:0000255}.; TRANSMEM 231 251 Helical. {ECO:0000255}."	"SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}."	NA	NA	NA
"P07808"	0	"Npy"	""	"SUBCELLULAR LOCATION: Secreted."	NA	NA	NA
"A0A0G2K344"	0	"Pik3ca"	""	""	NA	NA	NA
"O70417"	0	"Pip"	""	"SUBCELLULAR LOCATION: Secreted {ECO:0000305}."	NA	NA	NA
"Q9Z1N3"	1	"Myo9a Myr7"	"TRANSMEM 175 195 Helical. {ECO:0000255}."	"SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}. Cytoplasm {ECO:0000269|PubMed:9819351}. Cell junction, synapse {ECO:0000250|UniProtKB:Q8C170}. Cell projection, Neuron projection, growth cone {ECO:0000250|UniProtKB:Q8C170}. Note=Localized in the cytoplasm of cell bodies, dendrites and axons with occasional hints of an enrichment near the plasma membrane. Localized at the neuromuscular junction (By similarity). {ECO:0000250|UniProtKB:Q8C170, ECO:0000269|PubMed:9819351}."	NA	NA	NA
"Q8R414"	0	"Prok1"	""	"SUBCELLULAR LOCATION: Secreted {ECO:0000250}."	NA	NA	NA
"O70215"	0	"Klrk1 Nkg2d Nkrp2"	"TRANSMEM 52 74 Helical; Signal-anchor for type II membrane protein. {ECO:0000255}."	"SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Single-pass type II membrane protein {ECO:0000250}. Note=Colocalized with HCST on the cell surface. {ECO:0000250}."	" CD314"	NA	NA
"Q62792"	0	"Nrf1"	""	"SUBCELLULAR LOCATION: Nucleus."	NA	NA	NA
"Q99PR0"	1	"Pomt1"	"TRANSMEM 30 50 Helical. {ECO:0000255}.; TRANSMEM 90 110 Helical. {ECO:0000255}.; TRANSMEM 121 141 Helical. {ECO:0000255}.; TRANSMEM 176 196 Helical. {ECO:0000255}.; TRANSMEM 205 225 Helical. {ECO:0000255}.; TRANSMEM 228 248 Helical. {ECO:0000255}.; TRANSMEM 267 287 Helical. {ECO:0000255}.; TRANSMEM 597 617 Helical. {ECO:0000255}.; TRANSMEM 636 656 Helical. {ECO:0000255}.; TRANSMEM 660 680 Helical. {ECO:0000255}."	"SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}."	NA	NA	NA
"M0R7Z9"	0	"Plin5 Lsdp5 Oxpat"	""	"SUBCELLULAR LOCATION: Lipid droplet {ECO:0000269|PubMed:21885430, ECO:0000269|PubMed:22127648}. Cytoplasm {ECO:0000250|UniProtKB:Q8BVZ1}. Mitochondrion {ECO:0000269|PubMed:21885430, ECO:0000269|PubMed:22127648}. Note=Lipid droplet surface-associated. Exchanges between lipid droplets and the cytoplasm. {ECO:0000250|UniProtKB:Q8BVZ1}."	NA	NA	NA
"Q9WV50"	0	"Nip7 Peachy"	""	"SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000250}."	NA	NA	NA
"Q6DLV9"	0	"Pcgf1 Nspc1"	""	"SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q9BSM1}."	NA	NA	NA
"Q9Z0V5"	0	"Prdx4 Rno2CysPrx04"	""	"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:Q13162}. Endoplasmic reticulum {ECO:0000250|UniProtKB:Q13162}. Secreted {ECO:0000269|PubMed:10025941, ECO:0000269|PubMed:10731722}."	NA	NA	NA
"A7E3N2"	0	"Ncf2"	""	"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:P19878}."	NA	NA	NA
"Q561S0"	0	"Ndufa10"	""	"SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000250|UniProtKB:O95299}."	NA	NA	NA
"P48966"	0	"Cdc25b"	""	"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000250|UniProtKB:P30305}. Cytoplasm, cytoskeleton, spindle pole {ECO:0000250|UniProtKB:P30305}."	NA	NA	NA
"Q4KM35"	0	"Psmb10 Lmp10 Mecl1"	""	"SUBCELLULAR LOCATION: Cytoplasm. Nucleus {ECO:0000250}."	NA	NA	NA
"D3ZYB7"	0	"Taf1b"	""	"SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000250}."	NA	NA	NA
"Q63632"	2	"Slc12a4 Kcc1"	"TRANSMEM 119 139 Helical. {ECO:0000255}.; TRANSMEM 149 169 Helical. {ECO:0000255}.; TRANSMEM 215 235 Helical. {ECO:0000255}.; TRANSMEM 253 273 Helical. {ECO:0000255}.; TRANSMEM 276 296 Helical. {ECO:0000255}.; TRANSMEM 356 376 Helical. {ECO:0000255}.; TRANSMEM 416 436 Helical. {ECO:0000255}.; TRANSMEM 453 473 Helical. {ECO:0000255}.; TRANSMEM 494 514 Helical. {ECO:0000255}.; TRANSMEM 567 587 Helical. {ECO:0000255}.; TRANSMEM 628 648 Helical. {ECO:0000255}.; TRANSMEM 845 865 Helical. {ECO:0000255}."	"SUBCELLULAR LOCATION: Membrane; Multi-pass membrane protein."	NA	NA	NA
"Q4QQS2"	0	"Ttc30a2 Ttc30a1"	""	"SUBCELLULAR LOCATION: Cell projection, cilium {ECO:0000250}."	NA	NA	NA
"Q91Z63"	0	"Trim63 Murf1"	""	"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Nucleus {ECO:0000250}. Cytoplasm, myofibril, sarcomere, M line {ECO:0000250}. Cytoplasm, myofibril, sarcomere, Z line {ECO:0000269|PubMed:11927605}. Note=Colocalizes with TNNI3 in myocytes. Localizes to the M- and Z-lines in skeletal muscle (By similarity). {ECO:0000250}."	NA	NA	NA
"Q5EB62"	1	"Slc25a46"	"TRANSMEM 103 123 Helical; Name=1. {ECO:0000255}.; TRANSMEM 167 187 Helical; Name=2. {ECO:0000255}.; TRANSMEM 202 222 Helical; Name=3. {ECO:0000255}.; TRANSMEM 258 278 Helical; Name=4. {ECO:0000255}.; TRANSMEM 314 334 Helical; Name=5. {ECO:0000255}.; TRANSMEM 382 402 Helical; Name=6. {ECO:0000255}."	"SUBCELLULAR LOCATION: Mitochondrion outer membrane {ECO:0000250|UniProtKB:Q96AG3}; Multi-pass membrane protein {ECO:0000255}."	NA	NA	NA
"Q5I0L3"	0	"Yars2"	""	"SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000250|UniProtKB:Q9Y2Z4}."	NA	NA	NA
"P05942"	0	"S100a4"	""	""	NA	NA	NA
"P84025"	0	"Smad3 Madh3"	""	"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:P84022}. Nucleus {ECO:0000269|PubMed:8917532}. Note=Cytoplasmic and nuclear in the absence of TGF-beta. On TGF-beta stimulation, migrates to the nucleus when complexed with SMAD4. Through the action of the phosphatase PPM1A, released from the SMAD2/SMAD4 complex, and exported out of the nucleus by interaction with RANBP1. Co-localizes with LEMD3 at the nucleus inner membrane. MAPK-mediated phosphorylation appears to have no effect on nuclear import. PDPK1 prevents its nuclear translocation in response to TGF-beta. {ECO:0000250|UniProtKB:P84022}."	NA	NA	NA
"Q5RJZ6"	0	"Scoc Scoco"	""	"SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000250|UniProtKB:Q9UIL1}; Peripheral membrane protein {ECO:0000250|UniProtKB:Q9UIL1}; Cytoplasmic side {ECO:0000250|UniProtKB:Q9UIL1}. Golgi apparatus, trans-Golgi network {ECO:0000250|UniProtKB:Q9UIL1}. Cytoplasm, cytosol {ECO:0000250|UniProtKB:Q9UIL1}."	NA	NA	NA
"Q68FU8"	0	"Sugp1 Sf4"	""	"SUBCELLULAR LOCATION: Nucleus {ECO:0000305}."	NA	NA	NA
"P50343"	0	"Tpsb2 Mcp6 Mcpt6"	""	"SUBCELLULAR LOCATION: Secreted {ECO:0000250}. Note=Released from the secretory granules upon mast cell activation. {ECO:0000250}."	NA	NA	NA
"Q09167"	0	"Srsf5 Cl-4 Hrs Sfrs5"	""	"SUBCELLULAR LOCATION: Nucleus {ECO:0000305}."	NA	NA	NA
"P63003"	0	"Tle5 Aes Esp1 Grg Grg5"	""	"SUBCELLULAR LOCATION: Nucleus {ECO:0000250}."	NA	NA	NA
"P55018"	4	"Slc12a3 Tsc"	"TRANSMEM 134 154 Helical. {ECO:0000255}.; TRANSMEM 165 185 Helical. {ECO:0000255}.; TRANSMEM 217 237 Helical. {ECO:0000255}.; TRANSMEM 260 280 Helical. {ECO:0000255}.; TRANSMEM 285 305 Helical. {ECO:0000255}.; TRANSMEM 338 358 Helical. {ECO:0000255}.; TRANSMEM 376 396 Helical. {ECO:0000255}.; TRANSMEM 451 471 Helical. {ECO:0000255}.; TRANSMEM 510 530 Helical. {ECO:0000255}.; TRANSMEM 531 551 Helical. {ECO:0000255}.; TRANSMEM 576 596 Helical. {ECO:0000255}.; TRANSMEM 659 679 Helical. {ECO:0000255}."	"SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:P55017}; Multi-pass membrane protein."	NA	NA	NA
"Q68FX7"	0	"Thoc5 Fmip"	""	"SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q13769}. Cytoplasm {ECO:0000250|UniProtKB:Q13769}. Note=Shuttles between nucleus and cytoplasm. {ECO:0000250|UniProtKB:Q13769}."	NA	NA	NA
"Q2M1K6"	1	"Slc39a13 Zip13"	"TRANSMEM 7 27 Helical. {ECO:0000255}.; TRANSMEM 69 89 Helical. {ECO:0000255}.; TRANSMEM 109 129 Helical. {ECO:0000255}.; TRANSMEM 151 171 Helical. {ECO:0000255}.; TRANSMEM 234 254 Helical. {ECO:0000255}.; TRANSMEM 277 297 Helical. {ECO:0000255}.; TRANSMEM 308 328 Helical. {ECO:0000255}.; TRANSMEM 341 361 Helical. {ECO:0000255}."	"SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000250}; Multi-pass membrane protein."	NA	NA	NA
"Q04462"	0	"Vars Vars2"	""	""	NA	NA	NA
"P17246"	1	"Tgfb1"	""	"SUBCELLULAR LOCATION: Latency-associated peptide: Secreted, extracellular space, extracellular matrix {ECO:0000250|UniProtKB:P01137}.; SUBCELLULAR LOCATION: Transforming growth factor beta-1: Secreted {ECO:0000250|UniProtKB:P01137}."	NA	NA	NA
"P63029"	0	"Tpt1 Trt"	""	"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}."	NA	NA	NA
"P08689"	0	"Shbg"	""	"SUBCELLULAR LOCATION: Secreted. Note=In testis, it is synthesized by the Sertoli cells, secreted into the lumen of the seminiferous tubule and transported to the epididymis."	NA	NA	NA
"O08678"	0	"Mark1"	""	"SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}. Cytoplasm, cytoskeleton {ECO:0000269|PubMed:9108484}. Cytoplasm {ECO:0000250|UniProtKB:Q9P0L2}. Cell projection, Neuron projection, dendrite {ECO:0000250|UniProtKB:Q9P0L2}. Note=Appears to localize to an intracellular network."	NA	NA	NA
"Q9WVR1"	0	"Inpp5e"	""	"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, cilium axoneme {ECO:0000250|UniProtKB:Q9JII1}. Golgi apparatus, Golgi stack membrane {ECO:0000250|UniProtKB:Q9JII1}; Peripheral membrane protein {ECO:0000250|UniProtKB:Q9JII1}; Cytoplasmic side {ECO:0000250|UniProtKB:Q9JII1}. Cell membrane {ECO:0000269|PubMed:10405344}; Peripheral membrane protein {ECO:0000269|PubMed:10405344}; Cytoplasmic side {ECO:0000269|PubMed:10405344}. Cell projection, ruffle {ECO:0000269|PubMed:10405344}. Cytoplasm {ECO:0000269|PubMed:10405344}. Note=Peripheral membrane protein associated with Golgi stacks. {ECO:0000250|UniProtKB:Q9JII1}."	NA	NA	NA
"P04073"	0	"Pgc"	""	"SUBCELLULAR LOCATION: Secreted."	NA	NA	NA
"Q63921"	1	"Ptgs1 Cox-1 Cox1"	""	"SUBCELLULAR LOCATION: Microsome membrane; Peripheral membrane protein. Endoplasmic reticulum membrane; Peripheral membrane protein."	NA	NA	NA
"A0JPP1"	0	"Drap1"	""	"SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q14919}."	NA	NA	NA
"Q62645"	2	"Grin2d GluN2D"	"TRANSMEM 582 600 Helical. {ECO:0000250|UniProtKB:Q00960}.; TRANSMEM 655 670 Helical. {ECO:0000250|UniProtKB:Q00960}.; TRANSMEM 842 861 Helical. {ECO:0000250|UniProtKB:Q00960}."	"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:21522138, ECO:0000269|PubMed:23625947, ECO:0000269|PubMed:7512349}; Multi-pass membrane protein {ECO:0000305}. Cell junction, synapse, Postsynapse, postsynaptic cell membrane; Multi-pass membrane protein."	NA	NA	NA
"Q99NA7"	0	"Pitx1 Ptx1"	""	"SUBCELLULAR LOCATION: Nucleus."	NA	NA	NA
"Q62928"	3	"Ptger2"	"TRANSMEM 25 48 Helical; Name=1. {ECO:0000255}.; TRANSMEM 67 92 Helical; Name=2. {ECO:0000255}.; TRANSMEM 113 133 Helical; Name=3. {ECO:0000255}.; TRANSMEM 153 177 Helical; Name=4. {ECO:0000255}.; TRANSMEM 200 224 Helical; Name=5. {ECO:0000255}.; TRANSMEM 263 286 Helical; Name=6. {ECO:0000255}.; TRANSMEM 300 323 Helical; Name=7. {ECO:0000255}."	"SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein."	NA	NA	NA
"Q5U318"	0	"Pea15"	""	"SUBCELLULAR LOCATION: Cytoplasm. Note=Associated with microtubules. {ECO:0000250}."	NA	NA	NA
"Q920I0"	0	"Prl8a9 Prlpc2"	""	"SUBCELLULAR LOCATION: Secreted {ECO:0000250}."	NA	NA	NA
"P06300"	0	"Pdyn"	""	"SUBCELLULAR LOCATION: Secreted."	NA	NA	NA
"O35264"	0	"Pafah1b2 Pafahb"	""	"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}."	NA	NA	NA
"O88426"	0	"Nme6"	""	""	NA	NA	NA
"Q4V888"	2	"Pip4p2 Tmem55a"	"TRANSMEM 192 212 Helical. {ECO:0000255}.; TRANSMEM 227 247 Helical. {ECO:0000255}."	"SUBCELLULAR LOCATION: Late endosome membrane {ECO:0000250|UniProtKB:Q8N4L2}; Multi-pass membrane protein {ECO:0000255}. Lysosome membrane {ECO:0000250|UniProtKB:Q8N4L2}; Multi-pass membrane protein {ECO:0000255}. Cytoplasmic vesicle, phagosome membrane {ECO:0000250|UniProtKB:Q9CZX7}; Multi-pass membrane protein {ECO:0000255}. Cell membrane {ECO:0000250|UniProtKB:Q9CZX7}; Multi-pass membrane protein {ECO:0000255}."	NA	NA	NA
"Q7TSN4"	0	"Pigw"	"TRANSMEM 22 42 Helical. {ECO:0000255}.; TRANSMEM 61 74 Helical. {ECO:0000255}.; TRANSMEM 75 97 Helical. {ECO:0000255}.; TRANSMEM 132 152 Helical. {ECO:0000255}.; TRANSMEM 161 181 Helical. {ECO:0000255}.; TRANSMEM 202 222 Helical. {ECO:0000255}.; TRANSMEM 237 257 Helical. {ECO:0000255}.; TRANSMEM 260 280 Helical. {ECO:0000255}.; TRANSMEM 305 325 Helical. {ECO:0000255}.; TRANSMEM 338 358 Helical. {ECO:0000255}.; TRANSMEM 374 394 Helical. {ECO:0000255}.; TRANSMEM 447 467 Helical. {ECO:0000255}.; TRANSMEM 472 492 Helical. {ECO:0000255}."	"SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:14517336}; Multi-pass membrane protein {ECO:0000269|PubMed:14517336}."	NA	NA	NA
"Q6AY62"	0	"Cyb5d2"	""	"SUBCELLULAR LOCATION: Secreted {ECO:0000250}."	NA	NA	NA
"Q5BJP6"	0	"Gfm2 Efg2"	""	"SUBCELLULAR LOCATION: Mitochondrion {ECO:0000255|HAMAP-Rule:MF_03059}."	NA	NA	NA
"Q5M7U5"	0	"Rab19"	""	"SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Lipid-anchor {ECO:0000305}; Cytoplasmic side {ECO:0000305}."	NA	NA	NA
"Q5FVM3"	2	"Retreg1 Fam134b"	"TRANSMEM 44 64 Helical. {ECO:0000255}.; TRANSMEM 79 99 Helical. {ECO:0000255}.; TRANSMEM 102 122 Helical. {ECO:0000255}.; TRANSMEM 192 212 Helical. {ECO:0000255}."	"SUBCELLULAR LOCATION: Golgi apparatus, cis-Golgi network membrane {ECO:0000250|UniProtKB:Q8VE91}; Multi-pass membrane protein {ECO:0000255}. Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:Q9H6L5}; Multi-pass membrane protein {ECO:0000255}."	NA	NA	NA
"Q5FWT8"	0	"Rcor2"	""	"SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00512, ECO:0000255|PROSITE-ProRule:PRU00624}."	NA	NA	NA
"P08424"	0	"Ren1 Ren"	""	"SUBCELLULAR LOCATION: Secreted {ECO:0000250}. Membrane {ECO:0000250}. Note=Associated to membranes via binding to ATP6AP2. {ECO:0000250}."	NA	NA	NA
"P29315"	0	"Rnh1 Rnh"	""	"SUBCELLULAR LOCATION: Cytoplasm."	NA	NA	NA
"Q4V7D2"	0	"Rogdi"	""	"SUBCELLULAR LOCATION: Nucleus envelope {ECO:0000250|UniProtKB:Q9GZN7}. Cell junction, synapse, Presynapse {ECO:0000269|PubMed:29150638}. Cell projection, Neuron projection, axon {ECO:0000269|PubMed:29150638}. Perikaryon {ECO:0000269|PubMed:29150638}. Cell projection, Neuron projection, dendrite {ECO:0000269|PubMed:29150638}. Cytoplasmic vesicle, secretory vesicle, synaptic vesicle {ECO:0000269|PubMed:29150638}. Note=Detected primarily at presynaptic sites on axons, and to a lesser degree in soma and dendrites. Not detected at post-synaptic sites. {ECO:0000269|PubMed:29150638}."	NA	NA	NA
"Q568Y3"	2	"Rnf185"	"TRANSMEM 131 151 Helical. {ECO:0000255}.; TRANSMEM 172 192 Helical. {ECO:0000255}."	"SUBCELLULAR LOCATION: Mitochondrion outer membrane {ECO:0000250|UniProtKB:Q96GF1}; Multi-pass membrane protein {ECO:0000250|UniProtKB:Q96GF1}. Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:Q96GF1}; Multi-pass membrane protein {ECO:0000250|UniProtKB:Q96GF1}."	NA	NA	NA
"P62703"	0	"Rps4x Rps4"	""	"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Note=Localized in cytoplasmic mRNP granules containing untranslated mRNAs. {ECO:0000250}."	NA	NA	NA
"Q8R455"	2	"Trpm8 Cmr1"	"TRANSMEM 692 712 Helical; Name=1. {ECO:0000255}.; TRANSMEM 735 755 Helical; Name=2. {ECO:0000255}.; TRANSMEM 760 780 Helical; Name=3. {ECO:0000255}.; TRANSMEM 794 814 Helical; Name=4. {ECO:0000255}.; TRANSMEM 830 850 Helical; Name=5. {ECO:0000255}.; TRANSMEM 959 979 Helical; Name=6. {ECO:0000255}."	"SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}. Membrane raft {ECO:0000269|PubMed:19176480}. Note=Localizes to membrane rafts but is also located in the cell membrane outside of these regions where channel response to cold is enhanced compared to membrane rafts. {ECO:0000250}."	NA	NA	NA
"P50116"	0	"S100a9 Mrp14"	""	"SUBCELLULAR LOCATION: Secreted {ECO:0000250}. Cytoplasm {ECO:0000250}. Cytoplasm, cytoskeleton {ECO:0000250}. Cell membrane {ECO:0000269|PubMed:21487906}; Peripheral membrane protein {ECO:0000269|PubMed:21487906}. Note=Predominantly localized in the cytoplasm. Upon elevation of the intracellular calcium level, translocated from the cytoplasm to the cytoskeleton and the cell membrane. Upon neutrophil activation or endothelial adhesion of monocytes, is secreted via a microtubule-mediated, alternative pathway (By similarity). {ECO:0000250}."	NA	NA	NA
"Q05702"	0	"Scgb1c1 Ryd5"	""	"SUBCELLULAR LOCATION: Secreted {ECO:0000250}."	NA	NA	NA
"Q566R2"	3	"Tm2d2"	"TRANSMEM 144 164 Helical. {ECO:0000255}.; TRANSMEM 182 202 Helical. {ECO:0000255}."	"SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}."	NA	NA	NA
"Q8VHJ4"	2	"Tmprss11d Rat"	"TRANSMEM 18 38 Helical; Signal-anchor for type II membrane protein. {ECO:0000255}."	"SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Single-pass type II membrane protein {ECO:0000250}.; SUBCELLULAR LOCATION: Transmembrane protease serine 11D catalytic chain: Secreted {ECO:0000250}. Note=Activated by cleavage and secreted. {ECO:0000250}."	NA	NA	NA
"P55016"	3	"Slc12a1 Nkcc2"	"TRANSMEM 174 194 Helical. {ECO:0000255}.; TRANSMEM 198 218 Helical. {ECO:0000255}.; TRANSMEM 256 276 Helical. {ECO:0000255}.; TRANSMEM 299 319 Helical. {ECO:0000255}.; TRANSMEM 324 344 Helical. {ECO:0000255}.; TRANSMEM 376 396 Helical. {ECO:0000255}.; TRANSMEM 414 434 Helical. {ECO:0000255}.; TRANSMEM 481 501 Helical. {ECO:0000255}.; TRANSMEM 547 567 Helical. {ECO:0000255}.; TRANSMEM 568 588 Helical. {ECO:0000255}.; TRANSMEM 606 626 Helical. {ECO:0000255}.; TRANSMEM 789 809 Helical. {ECO:0000255}."	"SUBCELLULAR LOCATION: Membrane; Multi-pass membrane protein."	NA	NA	NA
"P27435"	0	"Tpsab1 Mcp7 Mcpt7 Tpsb1"	""	"SUBCELLULAR LOCATION: Secreted. Note=Released from the secretory granules upon mast cell activation."	NA	NA	NA
"Q6AXR5"	0	"Slc35a3"	"TRANSMEM 4 24 Helical. {ECO:0000255}.; TRANSMEM 38 58 Helical. {ECO:0000255}.; TRANSMEM 136 156 Helical. {ECO:0000255}.; TRANSMEM 174 194 Helical. {ECO:0000255}.; TRANSMEM 212 232 Helical. {ECO:0000255}.; TRANSMEM 243 263 Helical. {ECO:0000255}.; TRANSMEM 269 289 Helical. {ECO:0000255}.; TRANSMEM 293 313 Helical. {ECO:0000255}."	"SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}."	NA	NA	NA
"P60868"	0	"Rps20"	""	"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}."	NA	NA	NA
"Q6SLE7"	0	"Sln"	"TRANSMEM 8 26 Helical. {ECO:0000250}."	"SUBCELLULAR LOCATION: Sarcoplasmic reticulum membrane {ECO:0000250|UniProtKB:Q9CQD6}; Single-pass membrane protein {ECO:0000255}. Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:P42532}; Single-pass membrane protein {ECO:0000255}."	NA	NA	NA
"Q5FVM1"	2	"Tmem231"	"TRANSMEM 23 43 Helical. {ECO:0000255}.; TRANSMEM 262 282 Helical. {ECO:0000255}."	"SUBCELLULAR LOCATION: Cell projection, cilium membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}. Note=Localizes to the transition zone of primary cilia; SEPT2 is required for localization to the transition zone. {ECO:0000250}."	NA	NA	NA
"B0BN85"	0	"Sugt1"	""	"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Nucleus {ECO:0000250}. Note=Translocates the to nucleus upon heat shock, requiring S100A6. {ECO:0000250}."	NA	NA	NA
"Q4QQU7"	0	"Grtp1"	""	""	NA	NA	NA
"P46090"	3	"Gpr1"	"TRANSMEM 42 62 Helical; Name=1. {ECO:0000255}.; TRANSMEM 74 94 Helical; Name=2. {ECO:0000255}.; TRANSMEM 113 133 Helical; Name=3. {ECO:0000255}.; TRANSMEM 155 175 Helical; Name=4. {ECO:0000255}.; TRANSMEM 211 231 Helical; Name=5. {ECO:0000255}.; TRANSMEM 248 268 Helical; Name=6. {ECO:0000255}.; TRANSMEM 287 307 Helical; Name=7. {ECO:0000255}."	"SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:Q8K087}; Multi-pass membrane protein {ECO:0000255}. Note=Internalizes in presence of its ligand, TAFA1. {ECO:0000250|UniProtKB:Q8K087}."	NA	NA	NA
"Q32ZI0"	0	"Defb11"	""	"SUBCELLULAR LOCATION: Secreted {ECO:0000250}."	NA	NA	NA
"P25093"	0	"Fah"	""	""	NA	NA	NA
"Q9WU74"	2	"Lsr Lisch7"	"TRANSMEM 207 227 Helical. {ECO:0000255}."	"SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}."	NA	NA	NA
"Q5FVQ4"	2	"Mlec"	"TRANSMEM 269 289 Helical. {ECO:0000255}."	"SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250}; Single-pass type I membrane protein {ECO:0000250}."	NA	NA	NA
"Q56R16"	0	"Kpna5"	""	"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}."	NA	NA	NA
"P25030"	0	"Krt20 Krt21"	""	""	NA	NA	NA
"Q9QYP0"	3	"Megf8 Egfl4"	"TRANSMEM 2591 2611 Helical. {ECO:0000255}."	"SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}."	NA	NA	NA
"Q02401"	2	"Lct Lph"	"TRANSMEM 1884 1902 Helical. {ECO:0000255}."	"SUBCELLULAR LOCATION: Apical cell membrane; Single-pass type I membrane protein. Note=Brush border."	NA	NA	NA
"P98158"	2	"Lrp2"	"TRANSMEM 4426 4446 Helical. {ECO:0000255}."	"SUBCELLULAR LOCATION: Apical cell membrane {ECO:0000269|PubMed:12519751, ECO:0000269|PubMed:18466341, ECO:0000269|PubMed:19202329, ECO:0000269|PubMed:6752952}; Single-pass type I membrane protein {ECO:0000255}. Endosome lumen {ECO:0000269|PubMed:17063000}. Membrane, clathrin-coated pit {ECO:0000250|UniProtKB:A2ARV4}. Cell projection, Neuron projection, dendrite {ECO:0000250|UniProtKB:A2ARV4}. Cell projection, Neuron projection, axon {ECO:0000250|UniProtKB:A2ARV4}. Note=Localizes to brush border membranes in the kidney (PubMed:6752952, PubMed:12724130). In the endolymphatic sac of the inner ear, located in the lumen of endosomes as a soluble form (PubMed:17063000). {ECO:0000269|PubMed:12724130, ECO:0000269|PubMed:6752952}."	NA	NA	NA
"D3ZNT6"	0	"Mafa"	""	"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:15665000}."	NA	NA	NA
"Q32Q07"	3	"Lrrn1"	"TRANSMEM 632 652 Helical. {ECO:0000255}."	"SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}."	NA	NA	NA
"Q9ET62"	1	"Impg1 Mlgapc"	""	"SUBCELLULAR LOCATION: Secreted {ECO:0000305}. Secreted, extracellular space, extracellular matrix {ECO:0000250|UniProtKB:Q17R60}. Cell projection, cilium, photoreceptor outer segment {ECO:0000250|UniProtKB:Q17R60}."	NA	NA	NA
"Q4QQW8"	0	"Plbd2 RDCR-0918-3"	""	"SUBCELLULAR LOCATION: Lysosome lumen {ECO:0000269|PubMed:17105447}."	NA	NA	NA
"Q5PQN0"	0	"Ncald"	""	""	NA	NA	NA
